C:\Users\Sachin Kolachana\Documents\IMG\center_2018_04_07_01_12_46_148.jpg,C:\Users\Sachin Kolachana\Documents\IMG\left_2018_04_07_01_12_46_148.jpg,C:\Users\Sachin Kolachana\Documents\IMG\right_2018_04_07_01_12_46_148.jpg,0,0,0,1.245436E-06
C:\Users\Sachin Kolachana\Documents\IMG\center_2018_04_07_01_12_46_215.jpg,C:\Users\Sachin Kolachana\Documents\IMG\left_2018_04_07_01_12_46_215.jpg,C:\Users\Sachin Kolachana\Documents\IMG\right_2018_04_07_01_12_46_215.jpg,0,0,0,4.767384E-06
C:\Users\Sachin Kolachana\Documents\IMG\center_2018_04_07_01_12_46_283.jpg,C:\Users\Sachin Kolachana\Documents\IMG\left_2018_04_07_01_12_46_283.jpg,C:\Users\Sachin Kolachana\Documents\IMG\right_2018_04_07_01_12_46_283.jpg,0,0,0,2.044517E-06
C:\Users\Sachin Kolachana\Documents\IMG\center_2018_04_07_01_12_46_353.jpg,C:\Users\Sachin Kolachana\Documents\IMG\left_2018_04_07_01_12_46_353.jpg,C:\Users\Sachin Kolachana\Documents\IMG\right_2018_04_07_01_12_46_353.jpg,0,0,0,3.097321E-06
C:\Users\Sachin Kolachana\Documents\IMG\center_2018_04_07_01_12_46_421.jpg,C:\Users\Sachin Kolachana\Documents\IMG\left_2018_04_07_01_12_46_421.jpg,C:\Users\Sachin Kolachana\Documents\IMG\right_2018_04_07_01_12_46_421.jpg,0,0.07756629,0,0.02169578
C:\Users\Sachin Kolachana\Documents\IMG\center_2018_04_07_01_12_46_489.jpg,C:\Users\Sachin Kolachana\Documents\IMG\left_2018_04_07_01_12_46_489.jpg,C:\Users\Sachin Kolachana\Documents\IMG\right_2018_04_07_01_12_46_489.jpg,0,0.3226811,0,0.2145873
C:\Users\Sachin Kolachana\Documents\IMG\center_2018_04_07_01_12_46_556.jpg,C:\Users\Sachin Kolachana\Documents\IMG\left_2018_04_07_01_12_46_556.jpg,C:\Users\Sachin Kolachana\Documents\IMG\right_2018_04_07_01_12_46_556.jpg,0,0.5014234,0,0.5539372
C:\Users\Sachin Kolachana\Documents\IMG\center_2018_04_07_01_12_46_623.jpg,C:\Users\Sachin Kolachana\Documents\IMG\left_2018_04_07_01_12_46_623.jpg,C:\Users\Sachin Kolachana\Documents\IMG\right_2018_04_07_01_12_46_623.jpg,0,0.6782318,0,0.9385841
C:\Users\Sachin Kolachana\Documents\IMG\center_2018_04_07_01_12_46_692.jpg,C:\Users\Sachin Kolachana\Documents\IMG\left_2018_04_07_01_12_46_692.jpg,C:\Users\Sachin Kolachana\Documents\IMG\right_2018_04_07_01_12_46_692.jpg,0,0.921582,0,1.775497
C:\Users\Sachin Kolachana\Documents\IMG\center_2018_04_07_01_12_46_762.jpg,C:\Users\Sachin Kolachana\Documents\IMG\left_2018_04_07_01_12_46_762.jpg,C:\Users\Sachin Kolachana\Documents\IMG\right_2018_04_07_01_12_46_762.jpg,-0.05,1,0,2.451122
